1328, Belleville, Guelph, 26
1868, Toronto, Guelph, 31
566, Hamilton, Belleville, 13
343, Belleville, Hamilton, 10
4171, Toronto, Belleville, 10
3289, Guelph, Hamilton, 29
2274, Hamilton, Toronto, 24
1817, Toronto, Belleville, 25
410, Toronto, Hamilton, 34
3390, Hamilton, Toronto, 18
4707, Hamilton, Guelph, 11
1056, Toronto, Hamilton, 8
1419, Guelph, Hamilton, 29
4265, Belleville, Toronto, 19
4426, Toronto, Hamilton, 7
3132, Guelph, Belleville, 10
655, Hamilton, Guelph, 9
3535, Hamilton, Toronto, 24
4874, Hamilton, Guelph, 15
4195, Guelph, Toronto, 35
411, Hamilton, Belleville, 6
4478, Toronto, Belleville, 23
3417, Hamilton, Belleville, 32
3525, Hamilton, Toronto, 33
1016, Belleville, Hamilton, 22
134, Belleville, Hamilton, 18
1200, Toronto, Hamilton, 20
2335, Belleville, Guelph, 19
3091, Toronto, Guelph, 20
3229, Belleville, Toronto, 16
2287, Hamilton, Guelph, 22
3085, Belleville, Toronto, 22
1121, Belleville, Hamilton, 25
2272, Guelph, Belleville, 3
1233, Toronto, Hamilton, 7
2606, Guelph, Belleville, 25
3999, Guelph, Toronto, 3
2999, Belleville, Toronto, 1
781, Guelph, Toronto, 31
201, Toronto, Belleville, 1
4972, Hamilton, Guelph, 8
3847, Guelph, Toronto, 21
1358, Hamilton, Toronto, 19
3482, Guelph, Toronto, 19
1706, Guelph, Belleville, 7
1077, Hamilton, Guelph, 10
3577, Belleville, Hamilton, 6
1563, Hamilton, Guelph, 17
4177, Toronto, Guelph, 30
3325, Toronto, Guelph, 5
3022, Belleville, Hamilton, 1
344, Guelph, Hamilton, 19
489, Belleville, Guelph, 8
4631, Toronto, Belleville, 33
956, Belleville, Guelph, 13
2766, Belleville, Guelph, 34
4680, Belleville, Guelph, 21
4106, Guelph, Hamilton, 21
2612, Belleville, Guelph, 22
1919, Guelph, Toronto, 23
1760, Belleville, Hamilton, 26
1384, Hamilton, Guelph, 34
4509, Guelph, Toronto, 7
2785, Hamilton, Guelph, 35
1837, Hamilton, Guelph, 7
399, Guelph, Toronto, 17
440, Toronto, Hamilton, 22
2307, Guelph, Hamilton, 34
505, Belleville, Toronto, 14
3121, Belleville, Guelph, 19
4832, Hamilton, Toronto, 33
4771, Guelph, Belleville, 11
1734, Toronto, Belleville, 31
2940, Guelph, Hamilton, 11
405, Hamilton, Toronto, 35
1629, Toronto, Belleville, 22
3303, Guelph, Belleville, 33
3824, Toronto, Belleville, 7
3304, Guelph, Toronto, 9
3566, Toronto, Belleville, 33
1774, Guelph, Hamilton, 35
1730, Hamilton, Toronto, 27
3301, Toronto, Guelph, 31
4273, Guelph, Belleville, 30
4016, Guelph, Belleville, 5
2875, Guelph, Toronto, 17
3761, Guelph, Toronto, 24
677, Belleville, Toronto, 31
1276, Belleville, Hamilton, 19
766, Belleville, Guelph, 20
2705, Guelph, Toronto, 22
2214, Hamilton, Belleville, 27
623, Guelph, Belleville, 26
2458, Belleville, Guelph, 2
4780, Toronto, Hamilton, 13
879, Belleville, Guelph, 3
3031, Toronto, Belleville, 3
4012, Hamilton, Belleville, 2
1897, Belleville, Hamilton, 10
1555, Hamilton, Guelph, 4
3186, Hamilton, Guelph, 34
1985, Guelph, Toronto, 19
1886, Belleville, Toronto, 24
2790, Guelph, Belleville, 31
391, Toronto, Hamilton, 1
3899, Guelph, Hamilton, 32
724, Hamilton, Guelph, 5
2260, Hamilton, Belleville, 29
3893, Belleville, Toronto, 21
4113, Belleville, Guelph, 31
2348, Hamilton, Belleville, 27
1074, Toronto, Belleville, 22
2349, Toronto, Hamilton, 8
4360, Toronto, Guelph, 11
449, Hamilton, Guelph, 23
2175, Guelph, Belleville, 4
2640, Guelph, Belleville, 28
2261, Guelph, Toronto, 5
2086, Hamilton, Guelph, 25
4591, Belleville, Guelph, 17
4484, Belleville, Toronto, 5
1662, Belleville, Hamilton, 29
787, Belleville, Toronto, 35
8, Toronto, Guelph, 23
3674, Guelph, Toronto, 3
4622, Hamilton, Guelph, 17
1827, Belleville, Guelph, 21
1316, Toronto, Hamilton, 13
3400, Hamilton, Belleville, 24
291, Belleville, Toronto, 10
4217, Guelph, Toronto, 6
2586, Toronto, Guelph, 10
3099, Toronto, Hamilton, 28
2744, Guelph, Toronto, 20
765, Toronto, Hamilton, 9
4538, Toronto, Guelph, 20
4568, Guelph, Hamilton, 13
2671, Guelph, Belleville, 13
1479, Guelph, Hamilton, 5
1142, Belleville, Hamilton, 8
4616, Belleville, Guelph, 28
2136, Hamilton, Guelph, 21
4128, Guelph, Toronto, 3
298, Guelph, Belleville, 19
290, Toronto, Guelph, 20
2710, Belleville, Hamilton, 28
2631, Toronto, Guelph, 12
1435, Toronto, Belleville, 21
2482, Hamilton, Toronto, 7
4096, Belleville, Guelph, 1
1624, Toronto, Guelph, 17
2069, Hamilton, Belleville, 9
1243, Toronto, Belleville, 10
636, Guelph, Hamilton, 25
4062, Guelph, Belleville, 17
4571, Hamilton, Toronto, 27
2350, Hamilton, Guelph, 4
3696, Hamilton, Guelph, 9
2289, Hamilton, Belleville, 24
4889, Belleville, Hamilton, 7
1539, Guelph, Hamilton, 14
641, Hamilton, Guelph, 23
3650, Guelph, Hamilton, 11
3231, Belleville, Guelph, 35
2983, Guelph, Toronto, 11
374, Guelph, Toronto, 19
2394, Belleville, Toronto, 32
3722, Hamilton, Toronto, 7
4055, Toronto, Hamilton, 4
113, Toronto, Hamilton, 22
4749, Toronto, Belleville, 29
1574, Belleville, Hamilton, 18
3979, Hamilton, Belleville, 26
3586, Guelph, Belleville, 31
1309, Guelph, Hamilton, 3
4515, Belleville, Guelph, 17
3255, Guelph, Hamilton, 35
42, Belleville, Toronto, 33
1844, Toronto, Guelph, 20
127, Hamilton, Belleville, 34
3211, Hamilton, Toronto, 31
1878, Guelph, Toronto, 13
4931, Toronto, Guelph, 32
1822, Belleville, Toronto, 15
4225, Guelph, Belleville, 27
220, Hamilton, Guelph, 18
4221, Guelph, Toronto, 9
2646, Belleville, Hamilton, 17
463, Hamilton, Belleville, 23
2510, Belleville, Toronto, 22
3253, Guelph, Hamilton, 35
4089, Belleville, Hamilton, 22
510, Guelph, Belleville, 9
459, Guelph, Belleville, 8
4649, Belleville, Toronto, 9
1910, Toronto, Hamilton, 16
4685, Hamilton, Belleville, 31
836, Toronto, Guelph, 28
3759, Guelph, Belleville, 19
3401, Hamilton, Belleville, 12
3969, Toronto, Belleville, 35
3001, Guelph, Belleville, 3
1065, Belleville, Hamilton, 19
1061, Hamilton, Toronto, 31
4218, Belleville, Hamilton, 2
2041, Belleville, Toronto, 20
3572, Guelph, Hamilton, 26
3041, Hamilton, Belleville, 22
4233, Guelph, Toronto, 15
783, Toronto, Belleville, 13
2417, Hamilton, Guelph, 32
928, Guelph, Hamilton, 14
104, Hamilton, Toronto, 33
15, Belleville, Toronto, 14
2716, Hamilton, Toronto, 25
3735, Belleville, Hamilton, 33
1489, Toronto, Hamilton, 8
3409, Toronto, Belleville, 6
88, Hamilton, Guelph, 5
2942, Belleville, Guelph, 28
3170, Toronto, Hamilton, 13
923, Guelph, Toronto, 26
5, Toronto, Guelph, 23
598, Guelph, Belleville, 16
4854, Guelph, Belleville, 8
1476, Toronto, Hamilton, 17
2673, Belleville, Toronto, 10
3437, Toronto, Hamilton, 4
4194, Guelph, Belleville, 6
4611, Guelph, Belleville, 19
4309, Belleville, Hamilton, 27
2684, Belleville, Guelph, 10
607, Belleville, Guelph, 4
4209, Guelph, Belleville, 2
1849, Guelph, Hamilton, 20
2372, Guelph, Hamilton, 24
4342, Toronto, Belleville, 21
3345, Hamilton, Guelph, 14
4206, Guelph, Toronto, 6
4277, Guelph, Belleville, 22
1890, Hamilton, Belleville, 30
159, Toronto, Hamilton, 31
2906, Toronto, Hamilton, 20
259, Belleville, Hamilton, 32
4079, Hamilton, Toronto, 4
1893, Toronto, Guelph, 21
478, Guelph, Hamilton, 16
4114, Guelph, Hamilton, 31
3241, Belleville, Toronto, 9
918, Belleville, Guelph, 4
4261, Guelph, Belleville, 25
1609, Toronto, Belleville, 13
1807, Toronto, Hamilton, 13
1380, Belleville, Hamilton, 2
1117, Toronto, Guelph, 11
4564, Belleville, Hamilton, 3
3997, Hamilton, Guelph, 26
256, Toronto, Hamilton, 31
2049, Toronto, Belleville, 3
3569, Toronto, Hamilton, 20
2757, Guelph, Belleville, 9
3632, Toronto, Hamilton, 13
3016, Toronto, Belleville, 30
2424, Guelph, Hamilton, 11
4917, Hamilton, Toronto, 20
4856, Hamilton, Belleville, 6
3802, Hamilton, Guelph, 13
929, Toronto, Guelph, 27
3143, Belleville, Toronto, 20
1250, Guelph, Toronto, 21
1998, Belleville, Guelph, 6
1135, Toronto, Hamilton, 3
3492, Belleville, Toronto, 20
3530, Toronto, Belleville, 23
4030, Belleville, Guelph, 7
2873, Belleville, Toronto, 34
4453, Hamilton, Belleville, 25
1299, Hamilton, Toronto, 10
1189, Guelph, Hamilton, 31
3447, Toronto, Hamilton, 8
649, Belleville, Toronto, 8
2514, Guelph, Belleville, 24
1840, Hamilton, Toronto, 33
2315, Belleville, Hamilton, 25
4302, Belleville, Hamilton, 26
903, Belleville, Toronto, 12
361, Belleville, Hamilton, 14
2853, Toronto, Belleville, 30
3739, Belleville, Toronto, 25
4372, Belleville, Guelph, 25
4813, Toronto, Belleville, 34
2501, Hamilton, Toronto, 32
2801, Guelph, Belleville, 10
4083, Guelph, Hamilton, 28
3801, Guelph, Toronto, 26
248, Belleville, Guelph, 10
193, Toronto, Hamilton, 5
3288, Hamilton, Belleville, 30
2737, Toronto, Hamilton, 29
950, Belleville, Guelph, 18
679, Hamilton, Guelph, 3
695, Guelph, Toronto, 13
116, Guelph, Belleville, 29
1033, Belleville, Hamilton, 32
672, Toronto, Belleville, 32
545, Toronto, Belleville, 21
3780, Toronto, Guelph, 26
4035, Guelph, Belleville, 15
132, Toronto, Belleville, 25
4459, Guelph, Belleville, 31
1823, Hamilton, Guelph, 22
3967, Guelph, Hamilton, 29
978, Guelph, Toronto, 2
2800, Toronto, Belleville, 6
3054, Hamilton, Belleville, 7
4285, Hamilton, Guelph, 7
3833, Belleville, Toronto, 25
1454, Guelph, Belleville, 11
4846, Belleville, Hamilton, 3
2470, Toronto, Guelph, 2
4127, Hamilton, Belleville, 4
296, Guelph, Toronto, 10
2401, Belleville, Hamilton, 14
2352, Toronto, Guelph, 24
3871, Toronto, Guelph, 6
4452, Hamilton, Belleville, 26
3823, Toronto, Guelph, 20
1966, Toronto, Guelph, 2
1475, Guelph, Hamilton, 7
1387, Belleville, Guelph, 31
1968, Toronto, Guelph, 19
1364, Guelph, Belleville, 17
4398, Guelph, Belleville, 26
979, Hamilton, Guelph, 26
4908, Guelph, Hamilton, 5
1987, Hamilton, Guelph, 4
3147, Toronto, Hamilton, 19
825, Belleville, Hamilton, 7
3293, Toronto, Hamilton, 2
2265, Toronto, Belleville, 15
809, Guelph, Toronto, 22
2329, Guelph, Belleville, 25
4838, Hamilton, Guelph, 13
4938, Guelph, Toronto, 13
3480, Guelph, Hamilton, 2
4613, Toronto, Hamilton, 14
1709, Hamilton, Belleville, 19
1761, Belleville, Guelph, 26
443, Guelph, Toronto, 25
4383, Toronto, Hamilton, 19
1751, Hamilton, Belleville, 2
3080, Toronto, Hamilton, 4
85, Hamilton, Belleville, 3
4336, Guelph, Belleville, 10
755, Guelph, Toronto, 35
4019, Guelph, Belleville, 28
820, Guelph, Toronto, 7
2337, Hamilton, Toronto, 20
3388, Guelph, Belleville, 5
1748, Hamilton, Toronto, 24
173, Toronto, Belleville, 12
4410, Hamilton, Belleville, 6
3505, Belleville, Guelph, 15
1286, Guelph, Hamilton, 10
4623, Toronto, Guelph, 20
351, Hamilton, Belleville, 2
2233, Belleville, Toronto, 2
2167, Belleville, Guelph, 27
4988, Hamilton, Toronto, 7
1, Belleville, Guelph, 21
4706, Hamilton, Belleville, 35
1360, Belleville, Guelph, 31
4768, Guelph, Hamilton, 15
4310, Toronto, Guelph, 15
936, Toronto, Hamilton, 12
4544, Belleville, Toronto, 15
2159, Hamilton, Toronto, 18
2338, Hamilton, Guelph, 23
2491, Guelph, Hamilton, 34
2862, Guelph, Belleville, 31
3354, Belleville, Hamilton, 4
1583, Toronto, Hamilton, 1
3819, Hamilton, Guelph, 28
4646, Belleville, Guelph, 3
9, Belleville, Hamilton, 32
1674, Belleville, Toronto, 1
1099, Toronto, Belleville, 10
4341, Guelph, Hamilton, 4
487, Guelph, Hamilton, 9
4258, Guelph, Toronto, 9
1404, Guelph, Toronto, 25
1753, Belleville, Hamilton, 35
1744, Toronto, Belleville, 31
3726, Belleville, Hamilton, 1
4151, Toronto, Guelph, 30
4740, Hamilton, Guelph, 32
2756, Hamilton, Belleville, 6
3750, Guelph, Hamilton, 34
2076, Hamilton, Toronto, 22
3865, Belleville, Guelph, 22
1971, Guelph, Belleville, 24
4784, Belleville, Guelph, 27
2572, Belleville, Guelph, 20
468, Hamilton, Guelph, 21
4345, Guelph, Toronto, 28
2638, Hamilton, Belleville, 17
2195, Hamilton, Guelph, 9
4314, Belleville, Guelph, 1
1282, Belleville, Hamilton, 12
3172, Hamilton, Toronto, 8
2268, Guelph, Toronto, 6
3042, Belleville, Toronto, 1
2123, Toronto, Guelph, 6
2122, Toronto, Belleville, 3
1643, Hamilton, Toronto, 20
3323, Belleville, Guelph, 18
2931, Belleville, Toronto, 30
832, Guelph, Toronto, 5
1036, Guelph, Toronto, 5
3463, Toronto, Guelph, 33
4718, Belleville, Guelph, 29
2554, Guelph, Toronto, 5
678, Belleville, Guelph, 14
400, Hamilton, Belleville, 18
1339, Toronto, Hamilton, 32
4475, Toronto, Hamilton, 20
1310, Guelph, Hamilton, 16
3826, Hamilton, Guelph, 27
4973, Guelph, Hamilton, 2
1863, Belleville, Guelph, 33
3721, Guelph, Hamilton, 26
4037, Guelph, Toronto, 3
2359, Hamilton, Toronto, 7
2828, Toronto, Guelph, 19
2427, Hamilton, Belleville, 18
295, Belleville, Toronto, 18
910, Belleville, Guelph, 23
1830, Belleville, Toronto, 17
1192, Guelph, Belleville, 9
4530, Hamilton, Toronto, 35
4505, Toronto, Belleville, 30
4502, Guelph, Toronto, 20
1228, Hamilton, Guelph, 22
3940, Guelph, Toronto, 16
3058, Belleville, Hamilton, 33
2278, Guelph, Belleville, 35
686, Guelph, Belleville, 13
3184, Guelph, Belleville, 31
1492, Toronto, Guelph, 7
1170, Hamilton, Toronto, 35
1887, Hamilton, Belleville, 9
4828, Belleville, Toronto, 33
4111, Guelph, Hamilton, 17
4008, Belleville, Hamilton, 12
4196, Hamilton, Guelph, 8
4578, Guelph, Hamilton, 24
1869, Toronto, Guelph, 28
4815, Guelph, Belleville, 20
2824, Toronto, Hamilton, 31
2259, Guelph, Toronto, 29
137, Belleville, Toronto, 24
2456, Toronto, Guelph, 28
3504, Toronto, Belleville, 17
624, Hamilton, Toronto, 8
3873, Hamilton, Guelph, 15
2085, Belleville, Guelph, 4
1627, Guelph, Toronto, 25
1407, Hamilton, Guelph, 18
2734, Belleville, Guelph, 22
3973, Hamilton, Belleville, 20
971, Toronto, Guelph, 33
3740, Hamilton, Belleville, 22
98, Guelph, Belleville, 1
4334, Guelph, Hamilton, 31
3317, Guelph, Toronto, 19
3414, Hamilton, Guelph, 16
945, Guelph, Belleville, 6
1839, Guelph, Toronto, 16
2476, Belleville, Hamilton, 8
925, Toronto, Belleville, 1
1403, Belleville, Toronto, 23
4642, Hamilton, Belleville, 5
65, Toronto, Hamilton, 27
4824, Toronto, Belleville, 11
3195, Belleville, Guelph, 25
4275, Guelph, Toronto, 24
2849, Belleville, Toronto, 24
4873, Belleville, Hamilton, 2
4691, Belleville, Hamilton, 2
4070, Guelph, Hamilton, 13
1818, Hamilton, Belleville, 11
692, Toronto, Belleville, 33
1740, Toronto, Hamilton, 4
4807, Belleville, Guelph, 3
3907, Guelph, Belleville, 26
4745, Guelph, Hamilton, 6
129, Guelph, Toronto, 8
3717, Belleville, Guelph, 31
3142, Hamilton, Belleville, 15
967, Guelph, Belleville, 30
587, Toronto, Belleville, 12
3393, Belleville, Hamilton, 25
4652, Toronto, Belleville, 16
1017, Guelph, Hamilton, 20
2194, Hamilton, Belleville, 6
3207, Toronto, Belleville, 21
3760, Guelph, Belleville, 19
1953, Hamilton, Belleville, 25
3088, Toronto, Hamilton, 22
356, Belleville, Hamilton, 4
4777, Guelph, Toronto, 13
3701, Guelph, Hamilton, 33
4348, Guelph, Belleville, 2
3905, Toronto, Belleville, 8
690, Hamilton, Toronto, 9
1277, Toronto, Belleville, 21
4422, Toronto, Hamilton, 27
3788, Hamilton, Guelph, 31
4683, Belleville, Toronto, 31
2825, Guelph, Toronto, 14
2682, Belleville, Guelph, 3
4531, Guelph, Belleville, 27
3456, Toronto, Hamilton, 6
4797, Toronto, Hamilton, 8
1872, Hamilton, Toronto, 19
2457, Belleville, Hamilton, 23
2207, Toronto, Hamilton, 22
3567, Guelph, Toronto, 18
4930, Guelph, Hamilton, 21
2698, Belleville, Guelph, 19
171, Guelph, Hamilton, 29
2730, Belleville, Toronto, 26
474, Toronto, Belleville, 12
2530, Guelph, Hamilton, 22
4330, Toronto, Guelph, 22
4945, Toronto, Hamilton, 14
4490, Belleville, Guelph, 21
154, Hamilton, Toronto, 26
4317, Toronto, Hamilton, 3
407, Belleville, Toronto, 19
497, Hamilton, Guelph, 17
2696, Guelph, Toronto, 29
4234, Guelph, Toronto, 2
284, Hamilton, Belleville, 33
3610, Belleville, Guelph, 20
1708, Guelph, Belleville, 16
4641, Hamilton, Toronto, 29
3789, Belleville, Guelph, 24
1686, Guelph, Toronto, 16
762, Hamilton, Toronto, 24
2865, Guelph, Hamilton, 13
2409, Guelph, Toronto, 21
2796, Toronto, Guelph, 34
2592, Hamilton, Toronto, 17
1298, Guelph, Hamilton, 16
1512, Guelph, Toronto, 9
831, Guelph, Belleville, 23
4364, Guelph, Toronto, 16
1031, Belleville, Hamilton, 17
1502, Toronto, Guelph, 13
2736, Hamilton, Toronto, 31
591, Hamilton, Toronto, 13
4295, Guelph, Toronto, 27
1218, Hamilton, Belleville, 33
4020, Hamilton, Belleville, 33
3797, Hamilton, Belleville, 12
366, Toronto, Belleville, 14
1783, Belleville, Guelph, 34
4048, Toronto, Belleville, 21
376, Guelph, Belleville, 35
4875, Toronto, Hamilton, 17
1928, Guelph, Hamilton, 24
3773, Hamilton, Belleville, 16
4723, Toronto, Hamilton, 22
2529, Belleville, Toronto, 10
4192, Guelph, Belleville, 3
4597, Hamilton, Belleville, 28
4488, Belleville, Toronto, 8
916, Toronto, Guelph, 26
1558, Hamilton, Belleville, 2
18, Belleville, Hamilton, 26
513, Toronto, Belleville, 5
3977, Guelph, Hamilton, 11
3768, Belleville, Hamilton, 5
3920, Belleville, Hamilton, 5
358, Belleville, Toronto, 13
714, Toronto, Hamilton, 34
1733, Toronto, Hamilton, 9
944, Belleville, Toronto, 9
112, Belleville, Guelph, 13
3556, Hamilton, Guelph, 34
1462, Guelph, Toronto, 16
2052, Belleville, Hamilton, 4
3864, Toronto, Hamilton, 31
3729, Guelph, Belleville, 23
3119, Toronto, Belleville, 19
1788, Toronto, Hamilton, 10
4460, Belleville, Hamilton, 20
4149, Hamilton, Toronto, 30
2061, Guelph, Toronto, 14
4023, Hamilton, Guelph, 9
481, Guelph, Hamilton, 10
894, Hamilton, Belleville, 32
1596, Belleville, Toronto, 30
573, Belleville, Toronto, 22
2063, Hamilton, Guelph, 12
2550, Guelph, Toronto, 6
2637, Belleville, Toronto, 23
1167, Hamilton, Belleville, 29
1667, Belleville, Toronto, 17
2826, Belleville, Toronto, 35
4181, Hamilton, Toronto, 20
1177, Toronto, Belleville, 9
4026, Toronto, Belleville, 26
4757, Toronto, Belleville, 11
2344, Guelph, Toronto, 8
3519, Toronto, Hamilton, 29
1515, Hamilton, Belleville, 12
615, Belleville, Toronto, 30
3642, Toronto, Guelph, 18
818, Hamilton, Belleville, 5
4160, Toronto, Hamilton, 14
2373, Belleville, Hamilton, 33
2188, Belleville, Hamilton, 12
3259, Hamilton, Belleville, 19
2594, Guelph, Toronto, 28
235, Belleville, Hamilton, 1
1618, Hamilton, Toronto, 33
689, Guelph, Toronto, 6
67, Hamilton, Guelph, 4
4775, Toronto, Hamilton, 15
2366, Belleville, Toronto, 21
4861, Guelph, Hamilton, 8
2097, Toronto, Hamilton, 33
4914, Toronto, Guelph, 23
3933, Belleville, Guelph, 34
1551, Belleville, Guelph, 25
3399, Belleville, Toronto, 15
2565, Belleville, Toronto, 4
4147, Belleville, Guelph, 18
843, Guelph, Belleville, 2
3280, Hamilton, Guelph, 13
4414, Guelph, Hamilton, 13
